STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,YEAR
Texas,480991.0,2.0,1.0,02,2,May,6:00pm-6:59pm,48,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Mazda,37.0,Mazda 626,"4-door sedan, hardtop",2000.0,1YVGF22C4Y51,1,Y,V,G,F,2,2,C,4,Y,5,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Left,Functional Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,1.0,2014
Texas,480998.0,2.0,1.0,01,2,May,7:00pm-7:59pm,35,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Dodge,482.0,Dodge Ram Pickup,"Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350, ......)",2006.0,1D3HA18226J1,1,D,3,H,A,1,8,2,2,6,J,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Minor Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,480999.0,2.0,1.0,None,2,May,0:00am-0:59am,36,Guardrail Face,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Freightliner,884.0,Freightliner Medium/Heavy - Unknown engine location,"Single-unit straight truck or Cab-Chassis (GVWR > 26,000 lbs.)",2001.0,1FUJACA8X1PJ,1,F,U,J,A,C,A,8,X,1,P,J,No Trailing Units,US DOT,1155892,571155892,"26,001 lbs. or more",Single-Unit Truck (3 or more axles),Cargo Tank,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,1 Clock Point,Disabling Damage,Not Towed,Motor Vehicle In-Transport,None,None,Yes,0.0,2014
Texas,481046.0,2.0,1.0,None,8,May,1:00pm-1:59pm,30,Utility Pole/Light Support,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,7.0,Chevrolet El Camino,"Auto-based pickup (includes E1 Camino, Caballero, Ranchero, SSR, G8-ST, Subaru Brat, Rabbit Pickup)",1976.0,1D80V6R43695,1,D,8,0,V,6,R,4,3,6,9,5,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,7 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,481046.0,3.0,1.0,None,8,May,1:00pm-1:59pm,30,Utility Pole/Light Support,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,16.0,Chevrolet Cavalier,"2-door sedan,hardtop,coupe",1993.0,1G1JF14TXP73,1,G,1,J,F,1,4,T,X,P,7,3,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,481055.0,2.0,2.0,None,9,May,8:00am-8:59am,50,Motor Vehicle In-Transport,Sideswipe - Same Direction,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,481.0,"Chevrolet C, K, R, V-series pickup/Silverado","Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350, ......)",2014.0,1GC4K0C86EF1,1,G,C,4,K,0,C,8,6,E,F,1,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,12 Clock Point,Minor Damage,Not Towed,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,481061.0,2.0,1.0,None,8,May,11:00am-11:59am,13,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Within the Trafficway,No,Multiple State Registration,Driverless/Motor Vehicle Parked/Stopped Off Roadway,International Harvester/Navistar,884.0,International Harvester/Navistar Medium/Heavy - Unknown engine location,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2011.0,3HSCUAPR7BN3,3,H,S,C,U,A,P,R,7,B,N,3,One Trailing Unit,US DOT,546354,57546354,"26,001 lbs. or more",Truck Tractor/Semi-Trailer,Other,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,6 Clock Point,Functional Damage,Towed Not Due to Disabling Damage,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,481080.0,1.0,4.0,01,13,May,3:00pm-3:59pm,34,Working Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,"Working Motor Vehicle (highway construction, maintenance, utility only)",No,Texas,Vehicle Registered as Business/Company/Government Vehicle,International Harvester/Navistar,881.0,International Harvester/Navistar Medium/Heavy - CBE,"Single-unit straight truck or Cab-Chassis (19,500 lbs. < GVWR < or = 26,000 lbs.)",2004.0,1HTMMAAM44H5,1,H,T,M,M,A,A,M,4,4,H,5,No Trailing Units,Unknown,Unknown,Unknown,"10,001 lbs - 26,000 lbs","Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",Unknown Cargo Body Type,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,Right-Back Side,Functional Damage,Towed Not Due to Disabling Damage,Working Motor Vehicle,None,None,No or Not Reported,0.0,2014
Texas,481087.0,2.0,1.0,None,14,May,1:00pm-1:59pm,35,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Chevrolet,421.0,Chevrolet Fullsize Blazer/Tahoe,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",2004.0,1GNEK13T94R2,1,G,N,E,K,1,3,T,9,4,R,2,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,11 Clock Point,Functional Damage,Not Reported,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
Texas,481087.0,3.0,1.0,None,14,May,1:00pm-1:59pm,35,Parked Motor Vehicle,Not a Collision with Motor Vehicle In-Transport,Motor Vehicle Not In-Transport Outside the Trafficway,No,Texas,Driverless/Motor Vehicle Parked/Stopped Off Roadway,Lincoln,13.0,Lincoln Zephyr/MKZ,"4-door sedan, hardtop",2006.0,3LNHM26146R6,3,L,N,H,M,2,6,1,4,6,R,6,No Trailing Units,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable (N/A),No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not a Bus,No Special Use,Not Applicable,No Underride or Override Noted,11 Clock Point,Functional Damage,Not Reported,Motor Vehicle In-Transport,None,None,No or Not Reported,0.0,2014
